Chromosome	Start	End	NA	Strand
SAMD11	chr1	923923	944575	NA	+
NOC2L	chr1	944203	959309	NA	-
KLHL17	chr1	960584	965719	NA	+
PLEKHN1	chr1	966482	975865	NA	+
PERM1	chr1	975204	982093	NA	-
HES4	chr1	998962	1000172	NA	-
ISG15	chr1	1001138	1014540	NA	+
AGRN	chr1	1020120	1056118	NA	+
RNF223	chr1	1070967	1074306	NA	-
C1orf159	chr1	1081818	1116361	NA	-
TNFRSF18	chr1	1203508	1206592	NA	-
SDF4	chr1	1216909	1232067	NA	-
B3GALT6	chr1	1232237	1235041	NA	+
UBE2J2	chr1	1253909	1273864	NA	-
SCNN1D	chr1	1280436	1292029	NA	+
ACAP3	chr1	1292390	1309609	NA	-
PUSL1	chr1	1308597	1311677	NA	+
INTS11	chr1	1311585	1324687	NA	-
CPTP	chr1	1324756	1328896	NA	+
TAS1R3	chr1	1331280	1335314	NA	+
DVL1	chr1	1335276	1349418	NA	-
MXRA8	chr1	1352689	1361777	NA	-
AURKAIP1	chr1	1373730	1375495	NA	-
CCNL2	chr1	1385711	1399335	NA	-
MRPL20	chr1	1401909	1407293	NA	-
VWA1	chr1	1434861	1442882	NA	+
ATAD3B	chr1	1471765	1497848	NA	+
ATAD3A	chr1	1512162	1534685	NA	+
SSU72	chr1	1541673	1574863	NA	-
FNDC10	chr1	1598012	1600135	NA	-
MIB2	chr1	1615454	1630605	NA	+
CDK11B	chr1	1635225	1659012	NA	-
SLC35E2B	chr1	1659529	1692795	NA	-
CDK11A	chr1	1702379	1724357	NA	-
NADK	chr1	1751232	1780457	NA	-
GNB1	chr1	1785285	1891117	NA	-
TMEM52	chr1	1917590	1919279	NA	-
CFAP74	chr1	1921951	2003837	NA	-
GABRD	chr1	2019329	2030758	NA	+
PRKCZ	chr1	2050411	2185395	NA	+
FAAP20	chr1	2184461	2212720	NA	-
SKI	chr1	2228319	2310213	NA	+
MORN1	chr1	2321253	2391707	NA	-
RER1	chr1	2391775	2405442	NA	+
PEX10	chr1	2403964	2413797	NA	-
PLCH2	chr1	2425980	2505532	NA	+
PANK4	chr1	2508537	2526597	NA	-
MMEL1	chr1	2590639	2633016	NA	-
PRDM16	chr1	3069168	3438621	NA	+
ARHGEF16	chr1	3454665	3481113	NA	+
MEGF6	chr1	3487951	3611508	NA	-
TPRG1L	chr1	3625015	3630127	NA	+
WRAP73	chr1	3630767	3652761	NA	-
TP73	chr1	3652516	3736201	NA	+
SMIM1	chr1	3772749	3775982	NA	+
LRRC47	chr1	3778559	3796498	NA	-
CEP104	chr1	3812086	3857396	NA	-
DFFB	chr1	3857267	3885429	NA	+
C1orf174	chr1	3889125	3900293	NA	-
NPHP4	chr1	5862811	5992473	NA	-
KCNAB2	chr1	5990927	6101193	NA	+
CHD5	chr1	6101787	6180321	NA	-
RPL22	chr1	6185020	6209389	NA	-
RNF207	chr1	6205475	6221299	NA	+
ICMT	chr1	6221193	6235972	NA	-
GPR153	chr1	6247353	6261098	NA	-
ACOT7	chr1	6264269	6393767	NA	-
HES2	chr1	6412418	6424670	NA	-
ESPN	chr1	6424776	6461367	NA	+
TNFRSF25	chr1	6460786	6466175	NA	-
PLEKHG5	chr1	6467122	6520074	NA	-
NOL9	chr1	6521347	6554513	NA	-
ZBTB48	chr1	6579994	6589280	NA	+
KLHL21	chr1	6590724	6614607	NA	-
PHF13	chr1	6613731	6624030	NA	+
THAP3	chr1	6624866	6635586	NA	+
DNAJC11	chr1	6634168	6701924	NA	-
CAMTA1	chr1	6785454	7769706	NA	+
VAMP3	chr1	7771296	7781432	NA	+
PER3	chr1	7784291	7845177	NA	+
UTS2	chr1	7843083	7853512	NA	-
PARK7	chr1	7954291	7985505	NA	+
ERRFI1	chr1	8004404	8026309	NA	-
SLC45A1	chr1	8318114	8344167	NA	+
RERE	chr1	8352397	8848921	NA	-
ENO1	chr1	8861000	8879190	NA	-
GPR157	chr1	9100305	9129102	NA	-
H6PD	chr1	9234774	9271337	NA	+
SPSB1	chr1	9292894	9369532	NA	+
SLC25A33	chr1	9539465	9585173	NA	+
TMEM201	chr1	9588911	9614877	NA	+
PIK3CD	chr1	9651731	9729114	NA	+
CLSTN1	chr1	9728926	9823984	NA	-
CTNNBIP1	chr1	9848276	9910336	NA	-
LZIC	chr1	9922113	9943407	NA	-
NMNAT1	chr1	9943428	9985501	NA	+
RBP7	chr1	9997206	10016021	NA	+
UBE4B	chr1	10032832	10181239	NA	+
KIF1B	chr1	10210570	10381603	NA	+
PGD	chr1	10398592	10420511	NA	+
CENPS-CORT	chr1	10430102	10452153	NA	+
CENPS	chr1	10430433	10442808	NA	+
CORT	chr1	10450031	10451998	NA	+
DFFA	chr1	10456522	10472529	NA	-
PEX14	chr1	10472288	10630758	NA	+
CASZ1	chr1	10636604	10796650	NA	-
TARDBP	chr1	11012344	11030528	NA	+
MASP2	chr1	11026523	11047239	NA	-
SRM	chr1	11054584	11060020	NA	-
EXOSC10	chr1	11066618	11099869	NA	-
MTOR	chr1	11106535	11262551	NA	-
UBIAD1	chr1	11273198	11296049	NA	+
DISP3	chr1	11479155	11537551	NA	+
FBXO2	chr1	11637018	11655785	NA	-
FBXO44	chr1	11654375	11663327	NA	+
FBXO6	chr1	11664200	11674354	NA	+
MAD2L2	chr1	11674480	11691650	NA	-
DRAXIN	chr1	11691710	11725857	NA	+
AGTRAP	chr1	11736084	11754802	NA	+
C1orf167	chr1	11761787	11789585	NA	+
MTHFR	chr1	11785723	11806455	NA	-
CLCN6	chr1	11806096	11848079	NA	+
KIAA2013	chr1	11919591	11926428	NA	-
PLOD1	chr1	11934205	11975538	NA	+
MFN2	chr1	11980181	12015211	NA	+
MIIP	chr1	12019466	12032045	NA	+
VPS13D	chr1	12230030	12512047	NA	+
DHRS3	chr1	12567910	12618210	NA	-
PRDM2	chr1	13700198	13825079	NA	+
KAZN	chr1	13892792	15118043	NA	+
TMEM51	chr1	15152532	15220478	NA	+
FHAD1	chr1	15236521	15400283	NA	+
EFHD2	chr1	15409888	15430339	NA	+
CASP9	chr1	15490832	15526534	NA	-
DNAJC16	chr1	15526813	15592379	NA	+
DDI2	chr1	15617458	15669044	NA	+
RSC1A1	chr1	15659869	15661722	NA	+
PLEKHM2	chr1	15684320	15734769	NA	+
FBLIM1	chr1	15756607	15786594	NA	+
UQCRHL	chr1	15807169	15809348	NA	-
SPEN	chr1	15836095	15940456	NA	+
ZBTB17	chr1	15941869	15976132	NA	-
